Location,Rate,Rate_Percent,County,Type,Notes
Tehama,0.0725,7.249999999999999,Tehama,City,
Tehama County,0.0725,7.249999999999999,Tehama,County,
Temecula,0.0875,8.75,Riverside,City,
Temple City,0.0975,9.75,Los Angeles,City,
Thousand Oaks,0.0725,7.249999999999999,Ventura,City,
Tiburon,0.0825,8.25,Marin,City,
Torrance,0.1025,10.25,Los Angeles,City,
Tracy,0.0825,8.25,San Joaquin,City,
Trinidad,0.095,9.5,Humboldt,City,
Trinity County,0.0725,7.249999999999999,Trinity,County,
Truckee,0.09,9.0,Nevada,City,
Tulare,0.0825,8.25,Tulare,City,
Tulare County,0.0775,7.75,Tulare,County,
Tulelake,0.0725,7.249999999999999,Siskiyou,City,
Tuolumne County,0.0725,7.249999999999999,Tuolumne,County,
Turlock,0.08625,8.625,Stanislaus,City,
Tustin,0.0775,7.75,Orange,City,
Twentynine Palms,0.0775,7.75,San Bernardino,City,
Ukiah,0.08875,8.875,Mendocino,City,
Union City,0.1075,10.75,Alameda,City,
Upland,0.0775,7.75,San Bernardino,City,
Vacaville,0.08125,8.125,Solano,City,
Vallejo,0.0925,9.25,Solano,City,
Ventura,0.0775,7.75,Ventura,City,
Ventura County,0.0725,7.249999999999999,Ventura,County,
Vernon,0.105,10.5,Los Angeles,City,
Victorville,0.0875,8.75,San Bernardino,City,
Villa Park,0.0775,7.75,Orange,City,
Visalia,0.085,8.5,Tulare,City,
Vista,0.0825,8.25,San Diego,City,
Walnut,0.0975,9.75,Los Angeles,City,
Walnut Creek,0.0925,9.25,Contra Costa,City,
Wasco,0.0825,8.25,Kern,City,
Waterford,0.07875,7.875,Stanislaus,City,
Watsonville,0.0975,9.75,Santa Cruz,City,
Weed,0.075,7.5,Siskiyou,City,
West Covina,0.0975,9.75,Los Angeles,City,
West Hollywood,0.105,10.5,Los Angeles,City,
Westlake Village,0.0975,9.75,Los Angeles,City,
Westminster,0.0925,9.25,Orange,City,
Westmorland,0.0775,7.75,Imperial,City,
West Sacramento,0.0925,9.25,Yolo,City,
Wheatland,0.0775,7.75,Yuba,City,
Whittier,0.105,10.5,Los Angeles,City,
Wildomar,0.0875,8.75,Riverside,City,
Williams,0.0825,8.25,Colusa,City,
Willits,0.09125,9.125,Mendocino,City,
Willows,0.0875,8.75,Glenn,City,
Windsor,0.0925,9.25,Sonoma,City,
Winters,0.0825,8.25,Yolo,City,
Woodlake,0.0875,8.75,Tulare,City,
Woodland,0.08,8.0,Yolo,City,
Woodside,0.09375,9.375,San Mateo,City,
Yolo County,0.0725,7.249999999999999,Yolo,County,
Yorba Linda,0.0775,7.75,Orange,City,
Yountville,0.0775,7.75,Napa,City,
Yreka,0.0875,8.75,Siskiyou,City,
Yuba City,0.0725,7.249999999999999,Sutter,City,
Yuba County,0,0,County,Please refer to the applicable tax rates for the unincorporated area and incorporated cities within Yuba County.,
Yuba County Unincorporated Area,0.0825,8.25,Yuba,County,This tax rate applies only to unincorporated areas of Yuba County. Please refer to the applicable incorporated city within the county for that city's tax rate.
Yucaipa,0.0875,8.75,San Bernardino,City,
Yucca Valley,0.0875,8.75,San Bernardino,City,
